Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2018-01-02,238.56874084472656,238.60425369428268,237.35268985901095,237.74324993902627,86655700
2018-01-03,240.0777130126953,240.22862229922507,238.73738066706755,238.73738066706755,90070400
2018-01-04,241.08963012695312,241.57784380908694,240.1398848065684,240.72572497210734,80636400
2018-01-05,242.6962432861328,242.82049762382132,241.39142375438712,241.88849528187438,83524000
2018-01-08,243.14004516601562,243.29981234319763,242.30566934513396,242.59857583663432,57319200
2018-01-09,243.69039916992188,244.32061005252595,243.28206910998748,243.5661177373241,57254000
2018-01-10,243.3175506591797,243.58385637118718,242.25240907624342,242.92699061892702,69574300
2018-01-11,245.0928192138672,245.0928192138672,243.70811616315106,243.87676832469413,62361500
2018-01-12,246.69058227539062,246.85920735541683,245.05731631955123,245.35913489652344,90816100
2018-01-16,245.84735107421875,248.61675762201966,245.14611445206097,247.9599188375301,106555100
2018-01-17,248.19068908691406,248.5812492058427,245.84735546171225,246.78824290593943,113258800
2018-01-18,247.7734375,248.50127464763182,247.27633900373326,248.0752289199176,100728000
2018-01-19,248.90081787109375,248.90081787109375,247.77353532032166,248.35934842720613,140920100
2018-01-22,250.924560546875,250.924560546875,248.63445601936647,248.68773883270904,91322400
2018-01-23,251.45712280273438,251.75002926439058,250.64048994417988,250.96890924882427,97084700
2018-01-24,251.35952758789062,252.70874505092237,250.17010441120692,252.10513493349671,134816100
2018-01-25,251.4659881591797,252.32699178074702,250.6671252425951,252.2293653200854,84587300
2018-01-26,254.37738037109375,254.4217781916104,252.05179056816746,252.30921124441505,107743100
2018-01-29,252.6909637451172,254.2443190842034,252.53119655430504,253.8005032730359,90118300
2018-01-30,250.0990753173828,252.74420001168627,249.6197466934919,250.8446825721213,131796400
2018-01-31,250.22349548339844,251.46617506487576,249.14058318631464,250.9602453309629,108364800
2018-02-01,249.93927001953125,251.25297441325174,249.1404070738808,249.48659636706898,90102500
2018-02-02,244.49819946289062,248.7410785450469,244.46268660479288,248.60791209927382,173174800
2018-02-05,234.27256774902344,244.85314680715493,233.72224057088496,242.7228366934345,294681800
2018-02-06,238.88832092285156,239.39427748706163,229.63032890282412,230.7309835294963,355026800
2018-02-07,237.59234619140625,241.75531319202244,237.51243551505837,238.32906845060393,167376100
2018-02-08,228.68052673339844,238.03617110767703,228.64501388569758,237.89414680523956,246449500
2018-02-09,232.1156463623047,233.9885358984153,224.49976616802164,231.4942934525664,283565300
2018-02-12,235.52415466308594,237.00651128580282,232.2576770264992,234.18382234044225,143736000
2018-02-13,236.11001586914062,236.66034315093736,233.72228459422163,234.30812472630558,81223600
2018-02-14,239.2965850830078,239.66051726723967,234.6010066229186,234.60989160664974,120735700
2018-02-15,242.35011291503906,242.35899790145197,238.5687927218945,241.05417805229456,111200300
2018-02-16,242.42098999023438,244.38267481776583,241.6753828914771,241.7197807129072,160420100
2018-02-20,240.9031982421875,242.9181392055205,240.10433526157803,241.4624104551237,86369700
2018-02-21,239.70492553710938,243.85017742214396,239.60729905424253,241.34704957092484,98883700
2018-02-22,240.0155792236328,242.36779754597228,239.3409976277185,240.63693217898287,110511300
2018-02-23,243.8412628173828,243.8412628173828,240.77006514716058,241.24939378325593,92766400
2018-02-26,246.67279052734375,246.77044407912223,244.32945743339067,244.92415537395786,86491400
2018-02-27,243.59274291992188,247.5782273783491,243.53060220430746,246.8592208332082,99099200
2018-02-28,241.12510681152344,245.15496166120425,240.8055724537234,244.70226089928886,121907800
2018-03-01,237.61892700195312,242.474271647054,236.10994284765812,240.91203177798243,176855100
2018-03-02,238.84388732910156,239.4119845277363,235.06259531810483,235.9324569070119,139083200
2018-03-05,241.60446166992188,242.22581466204204,237.53909353183624,237.64563208436954,97307400
2018-03-06,242.21694946289062,242.6696503109393,240.70796469497546,242.5897396179197,79213200
2018-03-07,242.12815856933594,242.4832058089728,239.8380808485654,240.03336089362085,87063500
2018-03-08,243.29977416992188,243.42402848100204,241.8085599067951,242.81156064286768,66901200
2018-03-09,247.53382873535156,247.53382873535156,244.4004901597788,244.72005163306105,113625300
2018-03-12,247.2230682373047,248.45688878820474,246.83250828510313,247.8266781287534,71924800
2018-03-13,245.62542724609375,248.9007901479848,245.01295925056175,248.3948336145683,91968900
2018-03-14,244.36495971679688,246.7793186641231,243.80577458345468,246.5929236196757,105895100
2018-03-15,244.0987548828125,245.5278291362524,243.59279823511838,244.87987523257732,83433000
2018-03-16,244.36341857910156,245.42393299104094,244.3099495496644,244.63076372628737,100343700
2018-03-19,241.0570526123047,244.5415954513011,239.3905380364491,243.60586040826814,109208400
2018-03-20,241.4669647216797,242.10862001426642,240.78073379121093,241.4580441547332,59757300
2018-03-21,241.00360107421875,243.53456791593968,240.78972497957875,241.42245989079436,78709600
2018-03-22,234.97915649414062,239.61330997745875,234.70286365795002,238.7577785523137,148785900
2018-03-23,229.970703125,235.7545229514901,229.77464097500274,235.42478824396247,183534800
2018-03-26,236.26246643066406,236.54765266986035,231.18271912965625,233.60674776911145,141956100
2018-03-27,232.2432098388672,237.74181537280737,230.6747128789932,237.20712522453573,129941400
2018-03-28,231.55697631835938,234.0612354043563,230.4429931934076,232.37687986493947,146452300
2018-03-29,234.51576232910156,236.39618030955063,231.56593668302372,232.70665451114272,111601600
2018-04-02,229.45379638671875,234.49791539738547,226.95847138934363,233.98101198105408,186286300
2018-04-03,232.3947296142578,232.87597801351254,228.89237265696886,230.70148044278557,119956900
2018-04-04,234.88113403320312,235.59407242205498,228.6784830202522,228.81215556855489,123715300
2018-04-05,236.73484802246094,237.62603472238553,235.55847505131413,236.65461728623114,82652600
2018-04-06,231.45899963378906,236.26248157244254,229.92615749594177,234.75640114328817,179521200
2018-04-09,232.59971618652344,236.02186966679415,231.65506051109313,232.9294508962867,105442900
2018-04-10,236.29815673828125,237.09132598488495,234.36429675854586,235.51390806200007,103529000
2018-04-11,235.0594024658203,236.73483774040727,234.72966775266707,234.80095071894675,91140200
2018-04-12,236.9932403564453,237.94681652294,236.21791238444055,236.3961605789305,68890500
2018-04-13,236.29815673828125,238.42810608394765,235.28221800536116,238.31224745719786,85079200
2018-04-16,238.2408905029297,239.01624565348592,237.1180139340912,237.94681090550554,63405300
2018-04-17,240.7897186279297,241.39571901132996,239.5064077002245,240.02328398092294,64682000
2018-04-18,240.96798706054688,241.77894303169083,240.50455256633893,241.2353321942361,57303900
2018-04-19,239.6311798095703,240.51344584750186,238.58847951276826,240.30846313702435,77655900
2018-04-20,237.59925842285156,239.78267658234003,236.70807177764942,239.55987992103948,99953100
2018-04-23,237.56358337402344,238.7399560393847,236.47633479485972,238.17850421287807,65558000
2018-04-24,234.36427307128906,238.82020628446915,232.84924490006463,238.59740962381017,112885500
2018-04-25,234.9435577392578,235.38915109621217,232.46605976246593,234.3019022173691,103840900
2018-04-26,237.33189392089844,238.16961147470573,235.53170683551244,235.97730012171397,67731900
2018-04-27,237.5547637939453,238.2498884468284,236.61010791174172,237.94688818242952,57053600
2018-04-30,235.727783203125,238.7399983512289,235.65647304278758,238.17854642521624,82182300
2018-05-01,236.14662170410156,236.25355973855682,233.58889346138878,235.15739049167993,74203400
2018-05-02,234.56033325195312,236.77045870115245,234.1682089567356,235.95058222704876,86368900
2018-05-03,234.04345703125,234.70292651507665,230.86191384595597,233.72264285972167,136311500
2018-05-04,237.07345581054688,237.75968691668257,232.73338130527054,233.0631160044933,91222100
2018-05-07,237.87551879882812,238.85580221711055,237.15363269374905,237.8487842909996,55304900
2018-05-08,237.87551879882812,238.24088134019996,236.29810124638166,237.50120849237433,67499200
2018-05-09,240.17483520507812,240.50456995942764,238.02707181958368,238.552868751771,59666100
2018-05-10,242.4205322265625,242.75029406370766,240.81640746957316,240.9233454937921,72063900
2018-05-11,243.1602325439453,243.42757760484648,242.0284083268077,242.54531170702006,59871500
2018-05-14,243.27609252929688,244.25637588945068,242.7235340721821,243.5969066042157,54790600
2018-05-15,241.6006622314453,242.0551488462681,240.6470861624539,242.03733490738298,87036100
2018-05-16,242.6165771484375,243.08001148302438,241.60953216363214,241.63629386464348,53942600
2018-05-17,242.4116973876953,243.49894622453235,241.62744875825757,242.3493077928857,56536400
2018-05-18,241.80563354492188,242.4294750058261,241.44916436591447,242.06408525836562,64368000
2018-05-21,243.62367248535156,244.16731044477967,242.9107340958149,243.30285836911693,58025900
2018-05-22,242.94638061523438,244.40793978182185,242.61664590485648,244.14948803712366,52966400
2018-05-23,243.61474609375,243.6415077996528,241.50263828845243,241.66307253959138,64694200
2018-05-24,243.1157684326172,243.49007888644738,241.3155807373854,243.21381313116095,76043800
2018-05-25,242.53646850585938,243.16920348306272,242.02848553125355,242.53646850585938,56374800
2018-05-29,239.74705505371094,241.66312836653404,238.6241782174745,240.89669360203243,115908600
2018-05-30,242.94638061523438,243.39197394209273,240.9947068647043,241.06598983038398,69678400
2018-05-31,241.45806884765625,242.8393970231021,240.85206856403184,242.53639688128987,93519900
2018-06-01,243.82867431640625,244.13167451556902,242.69684985824642,242.76816002090732,71258400
2018-06-04,244.98724365234375,245.2456954371146,244.41689824789998,244.65750889084092,45385200
2018-06-05,245.16543579101562,245.54863949659892,244.3455321634628,245.12086014350314,51135000
2018-06-06,247.2151336669922,247.32207169722864,245.15649499437822,245.78033643322965,62732200
2018-06-07,247.18846130371094,247.99944449936092,246.2705400509398,247.70536484227773,72969400
2018-06-08,247.91915893554688,247.97262794641787,246.555644764632,246.72497236467422,72139700
2018-06-11,248.24899291992188,248.97085205242777,248.0261962198432,248.14205485538216,58892500
2018-06-12,248.56979370117188,248.9351562963718,247.9192176523571,248.66781117869908,72329000
2018-06-13,247.7767333984375,249.068965494339,247.5717505869123,248.81051363578464,79070600
2018-06-14,248.40045166015625,248.93514186450332,247.80334466949296,248.64998282113714,77097600
2018-06-15,248.08351135253906,248.4236872411048,246.49007744213327,247.60906269716475,120041600
2018-06-18,247.57322692871094,247.6985663799583,246.13198715320857,246.615369073516,52917600
2018-06-19,246.6243133544922,246.84811037205523,244.8607917633364,245.2815312491138,97531500
2018-06-20,247.04515075683594,247.71654207563165,246.70497478427552,247.31369635676114,53785500
2018-06-21,245.49652099609375,247.05416778823528,244.99521754912536,247.0362465314935,71061400
2018-06-22,245.94406127929688,246.8840255251033,245.72026417110243,246.76764665780493,54898500
2018-06-25,242.59605407714844,244.94144329165428,240.89520159723043,244.78031593775273,137854200
2018-06-26,243.1332244873047,243.99259787724654,242.40812392094946,243.16903967992363,68547400
2018-06-27,241.11895751953125,245.165198522984,240.96676349862642,243.72395857201377,105110700
